SIRA NO;SINIF;DERS ADI;ÜNİTE/TEMA/ ÖĞRENME ALANI;KAZANIM/ÖĞRENME ÇIKTISI/BÖLÜM;E-İÇERİK TÜRÜ;AÇIKLAMA;AI Senaryosu;EBA_URL
24;11;Kimya 11;3. SÜRDÜRÜLEBİLİRLİK;KİM.11.3.2. Nanoteknolojik ürünlerin seçimine yönelik eleştirel düşünebilme;Video/Etkileşimli İçerik;"Teknoloji, sağlık,gıda, tekstil, savunma sanayi gibi çeşitli alanlarda kullanılan nanoteknolojik ürünlerin kullanım amaçları, sağladıkları yararlar ve olası zararlarına ilişkin eğitim videosu, etkileşimli içerik ya da animasyon hazırlanır.
Öğrencilerin nanoteknolojik ürünlerin potansiyel faydalarını ve olası zararlarını kanıtlarla destekleyerek sorgulamaları için etkileşimli içerik/video veya animasyon hazırlanır.
Nanoteknoloji alanındaki uygulamaları ele alır. Bu teknolojinin temel bilim alanlarındaki ilerlemelere sağladığı katkılar, toplumun yaşam kalitesine etkisi, teknolojik gelişmelerde verimliliği nasıl arttırdığı, çevre dostu malzemeler ve ekonomik açıdan daha etkili ve verimli üretim sağladığı ve nanoteknolojik uygulamaların olası zararları ile ilgili video, animasyon veya etkileşimli içerik hazırlanır.
Öğrencilerin nanoteknolojik ürünlerin seçiminde dikkat edilmesi gereken faktörleri (güvenlik, etik, çevresel etkiler) değerlendirebileceği ve eleştirel düşünebileceği ve olası zararlarını görebileceği etkileşimli bir oyun, simülasyon, animasyon veya etkileşimli içerik hazırlanır.";;
25;11;Kimya 11;3. SÜRDÜRÜLEBİLİRLİK;KİM.11.3.3. Mikroplastik ve nanoplastiklerin etkilerini sorgulayabilme;Video/Etkileşimli İçerik;"Mikroplastik ve nanoplastiklerin ne olduğunu, çevreye ve insan sağlığına potansiyel faydası ve olası zararlı etkilerini ele alan bir video, animasyon veya etkileşimli içerik hazırlanır.
Öğrencilerin mikroplastik ve nanoplastiklerin çevre, sağlık, gıda, enerji, malzeme bilimi, kozmetik ve kişisel bakıma faydalı ve zararlı etkileriyle ilgili çıkarım yapabilmeleri için eğitim videoları, animasyon ya da simülasyon hazırlanır.
Öğrencilerin mikroplastik ve nanoplastik kirliliği ile ilgili bilgi edinebileceği ve bu kirliliği azaltmak için neler yapılabileceğini tartışabileceği etkileşimli simülasyon, animasyon, video veya etkileşimli içerik hazırlanır.";;
1;12;Kimya 12;1. ETKİLEŞİM;KİM.12.1.1. İndirgenme-yükseltgenme (redoks) tepkime sürecine ilişkin bilimsel gözlem yapabilme;Video/Etkileşimli İçerik;Metallerin oksijen gazıyla, seyreltik hidroklorik asit çözeltisiyle ve metal tuzlarının sulu çözeltileriyle olan tepkimelerine ait içerik hazırlanır.;;
2;12;Kimya 12;1. ETKİLEŞİM;KİM.12.1.2. Metallerin aktiflik sıralamasını belirlemeye ilişkin bilimsel sorgulama yapabilme;Video/Etkileşimli İçerik;"Metallerin aktiflik sıralamasını, metallerin tepkimelerini (asitlerle, su ile, başka metallerin tuz çözeltileri ile) ve bu tepkimelerden elde edilen sonuçları kullanarak metallerin aktiflik sıralamasının nasıl oluşturulduğunu anlatan bir video yada etkileşimli animasyon hazırlanır.
Öğrencilerin metallerin aktiflik sıralamasını belirlemek için deneyler tasarlayabileceği ve sorgulama yapabileceği etkileşimli simülasyon hazırlanır.";;
3;12;Kimya 12;1. ETKİLEŞİM;KİM.12.1.3. Galvanik bir hücrenin özelliklerini bilimsel gözleme dayalı tahmin edebilme;Video/Etkileşimli İçerik;Çinko (Zn) metali ile bakır (Cu2+) iyonlarını içeren sulu çözelti arasında gerçekleşen tepkimeyi makro seviyede gözlemleyebileceği similasyon veya oyun hazırlanr.Elektrik enerjisi üretilen galvanik hücre düzeneğini gözlemleyebileceği video veya etkileşimli deney videosu hazırlanır.;;
4;12;Kimya 12;1. ETKİLEŞİM;KİM.12.1.4. Standart hücre potansiyelinin hesaplanmasına ilişkin tümevarımsal akıl yürütebilme;Video/Etkileşimli İçerik;"2019’da  Lityum iyon pili üzerine yapılan çalışmalara Nobel Ödülü verilmesiyle ilgili çalışmaları içeren video hazırlanır.
E°hücre değerinin sıfırdan büyük olduğunda net tepkimenin istemli (kendiliğinden gerçekleşen), sıfırdan küçük olduğunda net tepkimenin istemsiz olduğu çıkarımına ulaştıracak boşluk doldurma etkinlikleri hazırlanır.
Matematiksel modellerini farklı elektrokimyasal hücrelerin standart potansiyellerinin hesaplanmasında kullanabilecekleri çeşitli soru türlerinden oluşan içerik hazırlanır.
Farklı pil türleri ve bu pille rin günlük hayattaki kullanım alanlarıyla ilgili video hazırlanır.";;
5;12;Kimya 12;1. ETKİLEŞİM;KİM.12.1.5. Galvanik hücrelerin potansiyelini etkileyen faktörlere ilişkin hipotez oluşturabilme;Video/Etkileşimli İçerik;"Galvanik hücrelerin potansiyelini etkileyen faktörlerin galvanik hücrelerin potansiyelinde yaratacağı olası değişimlerin neden-sonuç ilişkilerini tespit edebileceği etkileşimli deney hazırlanır.
Türkiye’nin savunma sanayisine ve diğer sektörlere hizmet etmek üzere üretilen lityum iyon pil üretimi hakkında video hazırlanır.";;
6;12;Kimya 12;1. ETKİLEŞİM;KİM.12.1.6. Elektrolitik bir hücrenin özelliklerini bilimsel gözlemlere dayalı tahmin edebilme;Video/Etkileşimli İçerik/Görsel;"Pozitif hücre potansiyeline sahip bu istemli tepkimelerin istemsiz olarak ters yönde gerçekleşebilmesi için gerekli şartların ne olduğuna dair açık uçlu sorular hazırlanır.
Ergimiş bir tuzun ve suyun elektroliz edildiği elektrolitik hücreleri gözlemleyebileceği animasyon hazırlanır.
Elektrolitik ve galvanik hücrelerin ortak ve farklı özelliklerini gösteren bir Venn diyagramı hazırlanır.";;
7;12;Kimya 12;1. ETKİLEŞİM;KİM.12.1.7. Elektroliz olayında madde-elektrik akımı miktarı ilişkisini açıklayabilmek için kanıt kullanabilme;Etkileşimli İçerik/Görsel;"Eriyik bir tuzun elektroliz edildiği elektrolitik hücreleri gözlemleyebileceği içerik hazırlanır.
Elektrotlarda değişime uğrayan madde miktarının hem devreden geçen elektrik akımı miktarı hem de elektroliz süresi ile değişimini gösteren infografik hazırlanır.";;
8;12;Kimya 12;1. ETKİLEŞİM;KİM.12.1.8. Metallerin elektrolizle kaplanmasına yönelik deney yapabilme;Video/Etkileşimli İçerik;"Elektroliz yöntemi ile metal eşyanın kaplanması sürecinide anot ve katotta gerçekleşen yarı tepkimeleri ve net tepkimelerin bulunması için etkileşimli içerik hazırlanır.
Metallerin elektrolizle nasıl kaplandığını, elektroliz işleminde kullanılan malzemeleri ve metallerin kaplanması ile ilgili uygulamaları (korozyondan korunma, estetik amaçlı kaplama) anlatan bir video hazırlanır.";;
9;12;Kimya 12;1. ETKİLEŞİM;KİM.12.1.9. Korozyonu önlemeye yönelik bilimsel sorgulama yapabilme;Video/Etkileşimli İçerik;"Korozyona neden olan faktörlerle ilgili sürükle bırak etkinliği hazırlanır.
Korozyonun ne olduğunu, korozyonu etkileyen faktörleri (metalin cinsi, ortamın asitlik derecesi, nem, sıcaklık) ve korozyonu önleme yöntemlerini (boyama, galvanizleme, katodik koruma) anlatan bir video hazırlanır.";;
10;12;Kimya 12;2. ÇEŞİTLİLİK;KİM.12.2.1. Molekülleri oluşturan atomlar arasındaki sigma ve pi bağlarını açıklamak için kanıt kullanabilme;Video/Etkileşimli İçerik;"Tek, çift ve üçlü bağ içeren karbon bileşiklerindeki sigma ve pi bağlarını belirlemeleri için sürükle bırak etkinliği hazırlanır.
Tek, çift ve üçlü bağların bağ enerjisi, bağ uzunluğu ve bağ sayılarının bulunması veya kıyaslamasıyla ilgili etkileşimli oyun hazırlanır.";;
11;12;Kimya 12;2. ÇEŞİTLİLİK;KİM.12.2.2. Hibrit orbitallerinin oluşumunu açıklamak için kanıt kullanabilme;Etkileşimli İçerik;"Karbon atomuna ait bağ sayıları, hibrit orbitalleri ve orbital enerjileri arasındaki ilişkileri inceleyerek tek, çift ve üçlü bağların nasıl oluştuğuna yönelik simülasyon hazırlanır.
Metan, etilen ve asetilen moleküllerindeki orbital örtüşmelerinin üç boyutlu gösterimi üzerinden sigma ve pi bağlarının oluşumu gösteren illüstrasyon hazırlanır.";;
12;12;Kimya 12;2. ÇEŞİTLİLİK;KİM.12.2.3. Moleküllerin geometrisinin belirlenmesine ilişkin çıkarımda bulunabilme;Video/Etkileşimli İçerik/Görsel;"BeH2, H2O, BH3, NH3, CH4 moleküllerinin hibrit orbitallerinin uzaydaki yönellimlerine göre oluşan molekül geometrilerinin görselleri hazırlanır.
Üç atomlu molekülün doğrusal ya da açısal, dört atomlu molekülün düzlem üçgen ya da üçgen piramit, beş atomlu molekülün düzgün dört yüzlü geometriye sahip olduğuna ilişkin sürükle bırak etkinliği hazırlanır.
Kurşun kalem uçları kullanılarak mikro ölçekte grafen eldesi etkileşimli deneyi hazırlanır.";;
13;12;Kimya 12;2. ÇEŞİTLİLİK;KİM.12.2.4. Organik bileşiklerin gösterimi için kullanılan farklı formüllere ilişkin tümevarımsal akıl yürütebilme;Video/Etkileşimli İçerik;"Basit formül, molekül formül, çizgi bağ formül, açık ve yarı açık formülü ile uzay dolgu molekül modelleri verilen çeşitli organik bileşiklerde eşleştirme yada sürükle bırak etkinliği hazırlanır.
Öğrencilerin farklı organik bileşikler için bu formülleri yazabileceği ve formüller arasındaki ilişkileri inceleyebileceği etkileşimli bir uygulama veya oyun hazırlanır.";;
14;12;Kimya 12;2. ÇEŞİTLİLİK;KİM.12.2.5. Hidrokarbonları sınıflandırabilme;Video/Etkileşimli İçerik;"Hidrokarbonları alifatik (alkan, alken, alkin, halkalı) ve aromatik hidrokarbonlar olarak sınıflandırmalarını gösteren video hazırlanır.
Alifatik ve aromatik hidrokarbonları ayıredebileceği sürükle bırak etkinliği hazırlanır.
Öğrencilerin farklı hidrokarbonları özelliklerine göre sınıflandırabileceği ve örneklerle ilişkilendirebileceği etkileşimli bir tablo veya oyun hazırlanır.";;
15;12;Kimya 12;2. ÇEŞİTLİLİK;KİM.12.2.6. Alifatik hidrokarbonların sistematik adlandırılmasına ilişkin tümevarımsal akıl yürütebilme;Etkileşimli İçerik;"Alifatik hidrokarbon sınıfının IUPAC sistemi adlandırma kurallarına göre sistematik adlandırmasını içeren eşleştirme, boşluk doldurma etkinlikleri hazırlanır.
Öğrencilerin farklı alifatik hidrokarbonlar için IUPAC adlarını yazabileceği ve adlandırma kurallarını uygulayabileceği etkileşimli bir uygulama veya oyun hazırlanır.";;
16;12;Kimya 12;2. ÇEŞİTLİLİK;KİM.12.2.7. Alifatik hidrokarbonların izomerliklerini sınıflandırabilme;Video/Etkileşimli İçerik;"Karbon sayıları aynı olan dallanmamış ve dallanmış zincirli hidrokarbon örnekleri üzerinden eşleştirme etkinlikleri hazırlanır.
Yapı formülü örnekleri kullanılarak “kapalı formülleri aynı, yarı açık formülleri farklı olan hidrokarbonların birbirleri ile izomer olduğu” bilgisini içeren etkileşimli video hazırlanır.";;
17;12;Kimya 12;2. ÇEŞİTLİLİK;KİM.12.2.8. Alifatik hidrokarbonların fiziksel ve kimyasal özelliklerini karşılaştırabilme;Video/Etkileşimli İçerik;"Alifatik hidrokarbonların yanma, katılma (H2, X2, HX, H2O katılması) ve polimerleşme tepkimesi verme eğilimleri, yaygın kullanım alanları, kaynama noktası ve buhar basıncı gibi kimyasal ve fiziksel özelliklerine ilişkin boşluk doldurma etkinliği hazırlanır.
Alifatik hidrokarbonların dallanma ve içerdikleri karbon atomu sayısına göre değişen fiziksel özelliklerini kıyaslanmasını içeren etkileşimli içerik hazırlanır.
Öğrencilerin farklı alifatik hidrokarbonların özelliklerini karşılaştırabileceği ve özelliklerin molekül yapısı ile ilişkisini inceleyebileceği etkileşimli bir tablo veya simülasyon hazırlanır.";;
18;12;Kimya 12;2. ÇEŞİTLİLİK;KİM.12.2.9. Organik bileşikleri fonksiyonel grubuna göre sınıflandırabilme;Etkileşimli İçerik;"Organik bileşikleri, yapısındaki fonksiyonel grubuna göre ayırabileceği sürükle bırak etkinliği hazırlanır.
Fonksiyonel gruplarına göre oluşturdukları grup adlarını içeren  boşluk doldurma etkinliği hazırlanır.
Öğrencilerin farklı organik bileşikleri fonksiyonel gruplarına göre sınıflandırabileceği ve örneklerle ilişkilendirebileceği etkileşimli bir tablo veya oyun hazırlanır.";;
19;12;Kimya 12;2. ÇEŞİTLİLİK;KİM.12.2.10. Fonksiyonel gruba sahip organik bileşiklerin sistematik adlandırılma kurallarına ilişkin tümdengelimsel akıl yürütebilme;Etkileşimli İçerik;"Farklı sonksiyonel gruba sahip organik bileşiklerin sistematik adlandırılma kurallarına ilişkin eşleştirme  etkinliği hazırlanır.
Öğrencilerin farklı fonksiyonel gruplara sahip organik bileşikler için IUPAC adlarını yazabileceği ve adlandırma kurallarını uygulayabileceği etkileşimli bir uygulama veya oyun hazırlanır.";;
20;12;Kimya 12;2. ÇEŞİTLİLİK;KİM.12.2.11. Fonksiyonel grup izomeri olan organik bileşiklerin modelini oluşturabilme;Video/Etkileşimli İçerik;"Fonksiyonel grup izomerisi kavramını anlatan ve farklı fonksiyonel gruplara sahip (alkol-eter, aldehit-keton, karboksilik asit-ester) izomer organik bileşiklerin modellerini oluşturmayı öğreten bir similasyon hazırlanır.
Alkol ve eterlerin, aldehit ve ketonların, karboksilik asit ve esterlerin genelözelliklerini (hibrit türü, polar yapısı, hidrojen bağı içerme durumu, suda çözünmesi, kaynama noktası, kokusu) içeren etkileşimli içerik hazırlanır.
Öğrencilerin farklı fonksiyonel gruplara sahip izomer organik bileşiklerin modellerini oluşturabileceği etkileşimli bir modelleme uygulaması veya oyun hazırlanır.";;
21;12;Kimya 12;2. ÇEŞİTLİLİK;KİM.12.2.12. Karbon temelli enerji kaynaklarının yanma tepkimelerinin sonuçlarına ilişkin çıkarım yapabilme;Video/Etkileşimli İçerik/Görsel;"Fosil yakıtların (kömür, petrol, doğalgaz) yanma tepkimelerini, yanma ürünleri (karbondioksit, su, diğer gazlar) ve bu ürünlerin çevresel etkilerini (küresel ısınma, hava kirliliği) içeren oyun hazırlanır.
Karbon temelli enerji kaynaklarının gösteren görseller hazırlanır.
Hidrokarbonların yanma ısısı ile karbon içeriği, düz zincir veya dallanmış zincir yapısı arasında ilişki kurmalarını sağlayacak boşluk doldurma soruları hazırlanır.";;
22;12;Kimya 12;3. SÜRDÜRÜLEBİLİRLİK;KİM.12.3.1. Boyaya duyarlı güneş pillerinin verimliliklerine ilişkin bilimsel çıkarım yapabilme;Video/Etkileşimli İçerik/Görsel;Boyaya duyarlı güneş pillerinin sürdürülebilirliği hakkında kısa cevaplı sorular hazırlanır. Böğürtlen boyası kullanılarak boyaya duyarlı bir güneş hücresi simülasyonu hazırlanır.;;
23;12;Kimya 12;3. SÜRDÜRÜLEBİLİRLİK;KİM.12.3.2. Biyobozunur polimer eldesinde kullanılacak bileşenlere karar verebilme;Video/Etkileşimli İçerik;"Biyopolimerlerin biyokütle ve tarımsal kaynaklı doğal polimerler olduğu ve biyobozunur özellikte olduğu ile ilgili boşluk doldurma ettkinliği hazırlanır.
Biyobozunur polimerleri, doğada çözünebilen ve çevre dostu olan bu polimerlerin (PLA, PHA) özelliklerini ve kullanım alanlarını anlatan bir video hazırlanır.";;
24;12;Kimya 12;3. SÜRDÜRÜLEBİLİRLİK;KİM.12.3.3. Yapay zekâ uygulamalarının sürdürülebilirliğe etkilerine yönelik eleştirel düşünebilme;Video/Etkileşimli İçerik;"Yapay zekâ uygulamalarının yeşil kimya alanında da olumlu katkıları olduğunu içeren etkileşimli içerik hazırlanır.
Yapay zekâ uygulamalarının etik ve çevresel sorunlara yol açma risklerini içeren video hazırlanır.
Yapay zekâ kullanımının olumlu yanlarıyla birlikte daha az deney yapma, yeteneklerin yeterince kullanılamaması ve etik problemler gibi olumsuz yönlerini içeren video hazırlanır.
Öğrencilerin yapay zekanın sürdürülebilirlik üzerindeki etkisini değerlendirebileceği ve eleştirel düşünebileceği etkileşimli içerik  veya senaryo analizi hazırlanır.";;
1;9;Kimya 9;1. ETKİLEŞİM;KİM.9.1.1. Kimya biliminin günlük hayata katkısına ilişkin çıkarım yapabilme;Video/Etkileşimli İçerik;"Kimya biliminin günlük hayattaki kullanımına dair çeşitli örnekler içeren ve kimya alanındaki önemli projelerden bahseden bir video hazırlanır.
Aziz Sancar ve Oktay Sinanoğlu gibi Türk bilim insanlarının hayatlarını ve kimya alanındaki çalışmalarını anlatan video hazırlanır.
Çeşitli kimyasal maddelerin özelliklerinin ve günlük hayattaki kullanım alanlarının eşleştirilebileceği bir etkileşimli içerik hazırlanır.";;
2;9;Kimya 9;1. ETKİLEŞİM;KİM.9.1.2. Farklı ortamlarda kimyasal maddelerin kullanımından kaynaklanan problemleri çözebilme;Video/Etkileşimli İçerik;"Kimyasal maddelerin hatalı kullanımından kaynaklanan gerçek hayattaki kazaları ve bu kazaların sonuçlarını gösteren bir video hazırlanır.
Piktogramların (kimyasal güvenlik sembollerinin) görselleri ile anlamlarının eşleştirilebileceği bir etkileşimli içerik hazırlanır.";;
3;9;Kimya 9;1. ETKİLEŞİM;KİM.9.1.3. Atom teorilerindeki varsayımları kullanarak bilimsel bilginin değişebilirliliğine ilişkin çıkarım yapabilme;Video;Elektron, proton ve nötronun keşif süreçlerini anlatan bir video hazırlanır.;;
4;9;Kimya 9;1. ETKİLEŞİM;KİM.9.1.3. Atom teorilerindeki varsayımları kullanarak bilimsel bilginin değişebilirliliğine ilişkin çıkarım yapabilme;Video/Etkileşimli İçerik;"Bohr ve modern atom teorilerinin temel farklılıklarını ve Bohr atom modelinden modern atom teorisine geçişi anlatan bir animasyon hazırlanır.
Atom teorilerinin kronolojik sıraya göre sıralanabileceği etkileşimli içerik hazırlanır.";;
5;9;Kimya 9;1. ETKİLEŞİM;KİM.9.1.4. Atom orbitallerinin bağıl enerjilerine ilişkin veriye dayalı tahminde bulunabilme;Video/Etkileşimli İçerik;"Atom çekirdeği etrafında farklı enerji seviyelerinde dolanan elektronların orbitallerini ve bu orbitallerin enerji seviyelerini görselleştiren bir animasyon hazırlanır.
Farklı orbitalleri tıklayarak bu orbitallerle ilgili çeşitli bilgilere ulaşılabilen etkileşimli bir bilgi görseli hazırlanır.
Karmaşık bir liste hâlinde verilen orbital türlerinin bağıl enerjilerine göre sıralanabildiği bir etkileşimli içerik hazırlanır.";;
